accuracy,precision,recall,f1,roc_auc,pr_auc,brier,tn,fp,fn,tp,model,sampling,fold
0.7102678571428571,0.7380857823669579,0.6586921850079744,0.6961325966850829,0.7749306392459173,0.7610602844710945,0.19555536459970785,4238,1319,1926,3717,LR,Default,1
0.6449107142857143,0.6618732996502138,0.6035796562112351,0.6313838168504958,0.7011269892794381,0.6907335822101841,0.22769604507023425,3817,1740,2237,3406,Linear SVM,Default,1
0.5936607142857143,0.7170111287758346,0.31968810916179335,0.44221105527638194,0.6901277119304643,0.6759076421650202,0.274123844848007,4845,712,3839,1804,Gaussian NB,Default,1
0.6411607142857143,0.6645723550871504,0.5810738968633705,0.6200245816394062,0.6972568950254752,0.6800703463324155,0.22245709517792916,3902,1655,2364,3279,Nearest Centroid,Default,1
0.7191964285714286,0.7666524338172502,0.6363636363636364,0.6954585068267649,0.7818398476364248,0.7734259671848671,0.1875584233457729,4464,1093,2052,3591,Decision Tree,Default,1
0.7180357142857143,0.7334093934208025,0.6871548191697844,0.7095290654893305,0.7802675977431128,0.7589675968322638,0.1936638148201067,4185,1402,1756,3857,LR,Default,2
0.6444642857142857,0.6544215110774475,0.615713522180652,0.6344776941435651,0.7030610911136607,0.6838283664061029,0.2276508041839063,3762,1825,2157,3456,Linear SVM,Default,2
0.5934821428571428,0.7103174603174603,0.3189025476572243,0.44018197467109305,0.687473666551328,0.6690167303989911,0.2781478016267753,4857,730,3823,1790,Gaussian NB,Default,2
0.6451785714285714,0.6627606752730884,0.5945127382861215,0.6267843726521413,0.6976746781575449,0.6717837277585693,0.22238294883758394,3889,1698,2276,3337,Nearest Centroid,Default,2
0.7202678571428571,0.7430419443355547,0.6753964012114734,0.7076061595893608,0.7863558958592602,0.772799221154963,0.18556787978193554,4276,1311,1822,3791,Decision Tree,Default,2
0.7229464285714285,0.750199203187251,0.6707034728406055,0.7082275505406675,0.7896777958387775,0.7753730659615439,0.18936088623489558,4331,1254,1849,3766,LR,Default,3
0.6592857142857143,0.6757865937072504,0.6158504007123775,0.644427879239657,0.7168728410838406,0.6992412704074251,0.2261323146485488,3926,1659,2157,3458,Linear SVM,Default,3
0.59875,0.7266477961989486,0.32003561887800536,0.4443620178041543,0.697960301054456,0.6761694957577458,0.2741652786524804,4909,676,3818,1797,Gaussian NB,Default,3
0.6494642857142857,0.6729469588367807,0.5852181656277827,0.6260240045722995,0.708618604565881,0.6857593403037305,0.21863231727651683,3988,1597,2329,3286,Nearest Centroid,Default,3
0.7215178571428571,0.7833787465940054,0.6144256455921638,0.6886914861762652,0.7885707725900457,0.7765930637076811,0.1847933248203852,4631,954,2165,3450,Decision Tree,Default,3
0.7278571428571429,0.745390349156532,0.6846846846846847,0.7137490608564989,0.7882921789045683,0.7605480207978407,0.1902456462442459,4352,1298,1750,3800,LR,Default,4
0.6571428571428571,0.6644863409003463,0.6223423423423423,0.6427242277633048,0.7176086741608866,0.6931693536828392,0.22605784763683054,3906,1744,2096,3454,Linear SVM,Default,4
0.5894642857142857,0.7126899016979446,0.2873873873873874,0.40960451977401124,0.693739902734593,0.665038394096376,0.29434081748861873,5007,643,3955,1595,Gaussian NB,Default,4
0.6449107142857143,0.6593072716224427,0.5864864864864865,0.6207685706112328,0.7021061627999681,0.6740007696453293,0.22077245909701954,3968,1682,2295,3255,Nearest Centroid,Default,4
0.7202678571428571,0.7349795839004473,0.6810810810810811,0.7070045824371084,0.7863151080283823,0.7728663914129014,0.18491189454334842,4287,1363,1770,3780,Decision Tree,Default,4
0.7227678571428572,0.740537360266719,0.6793810723281756,0.7086422070000937,0.7856302886425116,0.7681986912507736,0.19168133854777916,4319,1323,1782,3776,LR,Default,5
0.6541071428571429,0.6611791730474732,0.6214465635120547,0.6406974587275088,0.7084795203403661,0.697870425136264,0.2267216866465612,3872,1770,2104,3454,Linear SVM,Default,5
0.5966964285714286,0.7148163433759802,0.3116228859301907,0.43403082320511216,0.6896701077190694,0.6692471487798317,0.2762506755658897,4951,691,3826,1732,Gaussian NB,Default,5
0.6445535714285714,0.6590679846681461,0.5878013673983448,0.6213980028530671,0.7004085625224582,0.6816914586487519,0.22042817669747616,3952,1690,2291,3267,Nearest Centroid,Default,5
0.7241071428571428,0.7232272069464544,0.7193234976610291,0.7212700703590113,0.7850558303088222,0.775308940767667,0.18535109686217133,4112,1530,1560,3998,Decision Tree,Default,5
