model,threshold,net_benefit
LR,0.5,0.22057142857142858
Decision Tree,0.5,0.23114285714285715
Linear SVM,0.5,0.1517857142857143
Nearest Centroid,0.5,0.14221428571428574
Gaussian NB,0.5,0.09185714285714286
