accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,tn,fp,fn,tp,model,evaluation,fold
0.7246935801834233,0.7646583097452487,0.6487135506003431,0.7019302152932443,0.7246480208029984,0.7914130549452228,0.7748233022699447,0.18587956073539408,0.0019024908643491484,1.0259962024301374,9346,2328,4096,7564,Bagged Trees,5-fold CV,2
0.7264506728379189,0.7698680576864069,0.645540308747856,0.7022437841115828,0.7264021571150621,0.7933624985343689,0.777316056789644,0.18474741796069888,0.0012370314931158866,1.0084719968255162,9424,2250,4133,7527,Random-Subspace Forest,5-fold CV,2
0.7264935287563212,0.7717816683831102,0.6427101200686106,0.7013570425830604,0.7264432902895734,0.794218926637929,0.7791060938339841,0.18423300023262307,0.002437301729966314,1.014025604194543,9458,2216,4166,7494,Extra-Randomized Trees,5-fold CV,2
0.5922687923202195,0.7200574241181296,0.30111492281303603,0.42464925012094823,0.5920942097361394,0.6935516126937314,0.6727708514793497,0.28300234313749245,0.22819584291251885,0.28879169128498283,10309,1365,8149,3511,Gaussian NB,5-fold CV,2
0.7280791977372075,0.7703183806326925,0.6494854202401372,0.7047601321483411,0.7280320710931713,0.7941041005051175,0.778023375370709,0.18447458986120788,0.04512723073494088,1.0924631705561583,9416,2258,4087,7573,LACVE+,5-fold CV,2
0.724069946854106,0.7462039045553145,0.6786173771335449,0.710807654298805,0.7240426901087924,0.7878266179646916,0.7665495806246981,0.19017666977486614,0.002018601878213539,1.0652250207644216,8982,2691,3747,7912,LR,5-fold CV,3
0.7263843648208469,0.7254080847790787,0.7280212711210224,0.7267123287671233,0.7263853464317526,0.7896507340245994,0.7751230654882647,0.18438814232832504,0.0010345414942055289,1.0149907548137749,8460,3213,3171,8488,Decision Tree,5-fold CV,3
0.7253128750214298,0.7474547511312217,0.6800754781713697,0.7121749674406072,0.7252857473097918,0.7956544369976887,0.7785577403906941,0.18358269520171777,0.006633660937267732,1.0737551436895354,8994,2679,3730,7929,Bagged Trees,5-fold CV,3
0.7310560603463055,0.7715899919289749,0.6559739257226177,0.709100180798294,0.7310110355075865,0.7979354307412955,0.7807618143096302,0.18221330453868317,0.0033293365624764374,1.0630594714046815,9409,2264,4011,7648,Random-Subspace Forest,5-fold CV,3
0.734656266072347,0.7591960561243838,0.6868513594647911,0.721214031611654,0.7346275986906754,0.7983152669397088,0.7825771391378656,0.1819013593061503,0.004078573247982033,1.0662591885662667,9133,2540,3651,8008,Extra-Randomized Trees,5-fold CV,3
0.5887193553917367,0.7311225632982299,0.2798696286130886,0.4047884877806724,0.5885341460978576,0.6969574682579345,0.6715625114025106,0.29459014686326035,0.26899435691669854,0.27624738934117565,10473,1200,8396,3263,Gaussian NB,5-fold CV,3
0.7320846905537459,0.7704,0.6607770820825114,0.7113901842190314,0.7320419292019684,0.7978138176155954,0.7782692216046646,0.1825741292845247,0.05472326339409751,1.1400554337485778,9377,2296,3955,7704,LACVE+,5-fold CV,3
