accuracy,precision,recall,f1,balanced_accuracy,roc_auc,pr_auc,brier,calibration_intercept,calibration_slope,tn,fp,fn,tp,model,evaluation,fold
0.718,0.7376052385406923,0.6762435677530018,0.705592841163311,0.7179761528085398,0.7808394794577892,0.760622214470945,0.19251504946454037,-0.013150607754064151,1.0428511118827504,5321,1683,2265,4731,LR,held-out,
0.7232142857142857,0.7266521423384168,0.7151229273870783,0.720841437936748,0.7232096647215231,0.7848422766831924,0.7672789410112666,0.18686457002726262,-0.011456418060337335,0.9702744942108319,5122,1882,1993,5003,Decision Tree,held-out,
0.7236428571428571,0.7494814105632679,0.6713836477987422,0.7082862097564654,0.7236130117920039,0.7908887480453055,0.7741228803179944,0.18585616145374603,-0.009162668156226959,1.0286979560509764,5434,1570,2299,4697,Bagged Trees,held-out,
0.5856428571428571,0.724034495688039,0.27601486563750716,0.39966883990479146,0.5854660279072744,0.6926103690156307,0.6707818137282306,0.301741610962255,0.31612750817986623,0.2877147885557204,6268,736,5065,1931,Gaussian NB,held-out,
0.7277857142857143,0.7709715841415689,0.6476558033161807,0.7039540122737513,0.7277399519150863,0.7913611359546566,0.7696037339758386,0.1858504893875917,0.06827225847674694,1.1250193092362502,5658,1346,2465,4531,LACVE,held-out,
0.7166630954931791,0.7363820820977056,0.6743853630646084,0.7040214877266283,0.7166359363502913,0.7770004395292263,0.7545453444214472,0.19478012813211834,0.005751835133726951,1.0432389803681348,5316,1689,2278,4718,LR,5-fold CV,1
0.7231626312406256,0.7659393112853733,0.6422241280731846,0.6986471777328563,0.7231106364848436,0.7830679629718053,0.7734171972126838,0.1871751465815393,0.010768772612655462,0.9691531854154173,5632,1373,2503,4493,Decision Tree,5-fold CV,1
0.7253053353331905,0.767402376910017,0.6460834762721556,0.7015365512959801,0.7252544433466417,0.7907669887024257,0.7760764035348319,0.18588162103524195,0.014109565611229297,1.0384169335519617,5635,1370,2476,4520,Bagged Trees,5-fold CV,1
0.5949575030354974,0.7197346600331676,0.3101772441395083,0.43352312456298076,0.594774560685029,0.6880528243119653,0.6639579281910559,0.28057995884330483,0.2139203180296434,0.2885806197743027,6160,845,4826,2170,Gaussian NB,5-fold CV,1
0.7297335904578245,0.7696440564137005,0.6552315608919382,0.7078443483631871,0.729685730481658,0.7898569958809949,0.7687940144701286,0.18635115254875595,0.07740125846022901,1.1401126496373108,5633,1372,2412,4584,LACVE,5-fold CV,1
0.7254285714285714,0.7500793398920977,0.6756718124642653,0.7109339750338397,0.7254001552327038,0.7878069103042973,0.7680047217178667,0.1903284545058423,0.013922099333140626,1.0904422172921286,5429,1575,2269,4727,LR,5-fold CV,2
0.7263571428571428,0.7674497211424709,0.6490851915380217,0.7033222334081933,0.7263130126736368,0.787008542696667,0.7693476292741247,0.18507588871598585,0.011456381827928177,0.9998766848725963,5628,1376,2455,4541,Decision Tree,5-fold CV,2
0.7276428571428571,0.7695173581710415,0.649514008004574,0.7044415161615378,0.727598237583098,0.7941057695039248,0.7793552678243801,0.18393797810184342,0.019475923566638003,1.0702399794173625,5643,1361,2452,4544,Bagged Trees,5-fold CV,2
0.5810714285714286,0.7299715331435543,0.25657518582046884,0.37969328397673197,0.5808861080444434,0.6935715325947861,0.6716400368681136,0.31255277908206786,0.3390598951210651,0.266432308490953,6340,664,5201,1795,Gaussian NB,5-fold CV,2
0.7273571428571428,0.775619906363794,0.6393653516295026,0.7009323826686514,0.7273068905491887,0.7950128310245979,0.7747773706461344,0.18416028236383922,0.10568573344783358,1.1587846070684231,5710,1294,2523,4473,LACVE,5-fold CV,2
0.7233571428571428,0.7474251307241324,0.6742424242424242,0.7089501765987826,0.7233290933319488,0.7887476453053536,0.7729807377122219,0.1898083569070774,0.017601216262694373,1.1597534711386264,5410,1594,2279,4717,LR,5-fold CV,3
